@relation R_data_frame

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute Class {1,2,3,5,6,7}

@data
-0.263846,0.769049,-0.31446,0.311047,-0.473587,0.023027,-0.053791,0.374263,-0.036618,3
1.735737,0.190534,-0.821824,1.766479,-0.42252,-0.15517,0.481273,0.252112,-0.02852,3
-0.082498,0.341334,0.248745,0.843439,-0.528641,-0.120332,-0.469475,0.245209,-0.022563,3
0.079012,0.279342,0.647539,0.660483,0.267848,-0.342711,-0.58273,0.184465,-0.010998,3
0.106097,0.28285,0.287005,0.603232,-0.598767,0.018561,-0.509829,0.141083,-0.032988,3
1.217412,0.683562,-0.348855,0.240535,1.858646,-0.265634,0.781522,0.058857,-0.010519,3
2.190661,0.175017,0.789994,1.404421,2.917121,-1.205344,0.367829,-0.189631,0.052265,3
-4.29022,-2.67609,4.020692,3.068643,0.568009,1.781899,-1.114406,0.460278,0.001325,5
0.270792,-0.54153,0.480804,-0.886335,-0.993408,0.054949,-0.718467,-0.033234,0.000804,5
1.811394,-0.510219,0.653288,-1.7676,-1.384928,0.896259,-0.592852,-0.012472,0.022069,5
1.796498,-0.292217,0.646135,-2.678145,-1.559093,1.212671,-0.436231,-0.113902,-0.061769,5
0.702578,-1.381581,-0.494929,-2.484351,-1.250013,-0.204299,-0.13179,-0.015273,-0.045426,5
-0.773094,-0.790403,-0.040163,-2.441182,-1.226694,-0.540309,0.163485,0.058931,0.04331,5
0.562931,-1.754543,-0.17385,-1.487527,-1.165677,-0.717318,-0.282425,0.041852,0.000335,5
1.944593,-2.471897,0.075552,-0.642174,-1.297438,-0.810003,-0.307732,-0.135805,0.033755,5
-4.351431,0.071352,7.975043,0.158763,-3.172991,-2.813134,1.731351,0.123611,0.008596,5
-4.394156,0.136799,7.838829,-0.022462,-3.170715,-2.769702,1.821006,0.009382,-0.048045,5
1.609116,-2.094793,-0.119533,-0.856743,-1.272418,-0.913839,-0.157052,0.836222,-0.023297,5
1.034654,-0.864444,2.635729,-1.531301,3.643947,-1.07264,-0.481199,-0.461114,0.062225,5
1.651005,-1.294576,0.075409,-2.360276,1.450642,-0.915888,0.058405,-0.278658,0.065062,5
0.259897,-0.635842,-0.706308,0.532037,-0.381946,-0.441174,-0.667835,0.039428,-0.011171,6
0.655649,-0.336333,-1.081688,0.171433,-0.458426,-0.24449,-0.088145,0.060858,-0.025338,6
-0.195085,-0.740046,-0.906056,0.770858,-0.249497,-0.784146,-0.642215,0.039063,-0.034047,6
-0.138763,-0.638235,-0.880779,0.277581,-0.327746,-0.511095,-0.674442,-0.104198,-0.02218,6
-2.315228,0.451832,-2.402835,-1.111052,0.082119,-0.639838,0.115626,-0.096086,0.019281,6
-0.261208,-1.786031,-1.145049,0.468341,-0.373028,-1.498894,-0.500495,-0.042258,-0.020543,6
-0.047751,-2.235396,-0.681087,-0.721481,-0.702064,-1.170647,-1.018531,0.01275,0.009064,6
1.122765,-1.443425,-2.309882,-0.670566,-0.725653,-1.318199,1.389917,0.392455,0.022592,6
-3.272591,0.022959,-5.147251,-0.013583,0.61918,-2.865168,2.841951,-0.035818,0.075143,6
-3.93466,0.704494,1.103094,0.715659,0.150103,1.035893,1.212275,0.502075,-0.040581,7
-2.743003,-1.2834,2.001145,2.699922,0.398067,1.35921,0.54895,-0.5344,-0.004441,7
1.064425,0.076559,0.069172,0.821512,-0.702341,0.169958,0.182291,-1.070292,0.042359,7
0.594624,-1.910215,1.378598,2.680395,-0.727778,-1.488003,-1.108865,-0.249106,0.00417,7
-0.00925,-3.470707,0.195151,3.987139,0.56727,0.403696,1.15257,-0.094566,0.008393,7
-1.372643,-1.090561,-0.914624,-0.145678,0.139495,0.565575,-0.1985,0.300531,-0.052239,7
-2.120581,-2.297371,-0.865627,-0.611345,0.928537,-0.878959,-0.560398,-0.163999,-0.01017,7
-2.07635,-2.131202,-0.399733,-1.390809,0.646539,-0.788513,-1.351637,-0.426009,-0.021432,7
-2.049538,-3.076965,-0.758137,0.02928,1.283461,0.526392,0.585802,0.112097,0.000642,7
-2.129277,-2.898437,-0.890523,-0.302972,1.163504,0.671632,0.624314,0.10296,-0.012501,7
-2.26779,-2.216304,-0.466057,-1.235103,0.374448,-0.420597,-1.104557,-0.059513,-0.041792,7
-2.074738,-2.374169,-0.357935,-1.145432,-0.015215,0.062606,-0.868368,0.260494,-0.05838,7
-1.932006,-2.464828,-1.041501,-0.454526,0.047578,-0.495149,-0.567809,-0.354736,0.001464,7
-2.361258,-2.404273,-0.595544,-0.722879,-0.000027,-0.440887,-1.16808,0.116511,-0.007885,7
-2.313397,-2.4388,-0.935174,-0.195536,0.061336,-0.961099,-0.889441,-0.172011,-0.023204,7
-2.653112,-2.1381,-1.506099,-0.330428,0.248361,-0.832969,-0.335912,-0.120393,0.021155,7
-1.353816,0.869948,0.921865,-3.793823,-2.039199,-0.270257,2.67871,-0.685717,-0.050386,7
-2.704808,-2.044042,-1.400124,-0.772752,0.160471,-0.707924,-0.616816,-0.295761,-0.006254,7
-2.493941,-3.123253,-1.068822,0.223598,0.684787,0.864586,0.656986,0.194516,0.011567,7
-2.243447,-2.352517,-1.243533,-0.301066,0.154293,-0.663692,-0.42486,-0.15702,0.009539,7
-2.016965,-3.076344,-1.193996,0.401651,0.561172,0.540225,0.800065,0.196716,0.00934,7
-2.159833,-2.858046,-1.268294,0.177161,0.491753,0.292842,0.587307,0.283775,-0.024012,7
-3.516178,-3.474361,0.828397,0.857026,0.721416,2.401666,2.835275,-0.354991,0.051663,7
-1.965247,-2.600814,-0.412352,-0.587101,-0.11026,-0.578914,-1.449621,0.007452,-0.02411,7
-2.350785,-3.063439,0.088517,-0.396061,0.112933,0.224462,-1.31277,0.188434,-0.02862,7
-2.367365,-3.110267,-1.104605,0.296891,0.622811,0.616843,0.579299,0.131913,-0.013707,7
-1.649272,-3.280909,-0.929019,-0.167182,0.455033,1.242566,0.671468,-0.888005,0.046334,7
-2.338866,-2.757299,-1.237937,-0.512955,0.520673,0.997943,0.676938,0.075863,-0.027357,7
-2.230449,-3.027747,-0.892991,-0.410528,0.511356,1.207179,0.460571,0.06429,-0.019493,7
