@relation R_data_frame

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute PC21 numeric
@attribute PC22 numeric
@attribute PC23 numeric
@attribute PC24 numeric
@attribute PC25 numeric
@attribute PC26 numeric
@attribute PC27 numeric
@attribute PC28 numeric
@attribute PC29 numeric
@attribute PC30 numeric
@attribute PC31 numeric
@attribute PC32 numeric
@attribute PC33 numeric
@attribute PC34 numeric
@attribute PC35 numeric
@attribute PC36 numeric
@attribute PC37 numeric
@attribute PC38 numeric
@attribute PC39 numeric
@attribute PC40 numeric
@attribute PC41 numeric
@attribute PC42 numeric
@attribute PC43 numeric
@attribute PC44 numeric
@attribute PC45 numeric
@attribute PC46 numeric
@attribute PC47 numeric
@attribute PC48 numeric
@attribute PC49 numeric
@attribute PC50 numeric
@attribute PC51 numeric
@attribute PC52 numeric
@attribute PC53 numeric
@attribute PC54 numeric
@attribute PC55 numeric
@attribute PC56 numeric
@attribute PC57 numeric
@attribute PC58 numeric
@attribute PC59 numeric
@attribute PC60 numeric
@attribute Class {M,R}
@attribute IsCC {FALSE,TRUE}

@data
3.974267,1.648402,1.987389,2.339125,1.567305,-1.555298,-1.767154,-1.264195,-0.238361,0.959438,1.369665,0.210824,-1.439905,0.105237,0.071765,0.110997,0.512549,-0.291583,0.14054,0.595829,0.390263,-0.729575,0.399557,-0.183513,-0.419505,-1.23469,-0.291247,-0.290611,0.159221,-0.828553,0.005968,-0.6925,-0.178352,-0.008878,0.039209,0.351531,0.036399,-0.450164,0.78001,0.302075,0.493166,0.250996,-0.165809,-0.231536,0.104587,-0.251265,0.393013,0.235357,0.331518,-0.031668,-0.04301,-0.323782,-0.124057,-0.171335,0.229429,0.025412,-0.172592,0.121933,-0.011128,0.194103,R,TRUE
-0.644129,-0.638311,1.435332,-0.137445,-0.637661,1.271131,1.234408,0.784195,0.987377,-3.088951,-0.124193,-0.952747,-0.315852,0.42271,0.760313,0.457532,0.464133,-0.55487,0.795758,-0.550978,-0.114757,1.316414,0.342186,0.997271,-0.864618,-0.594113,-1.206834,0.447267,0.095325,1.170481,0.101822,-0.274874,-0.133658,-1.205257,0.755583,0.591632,-0.296176,-0.750344,-0.633359,0.111668,0.380519,-0.839013,0.440396,0.484021,0.115228,0.73185,-0.17631,0.246726,0.073052,0.112324,0.199482,0.048685,0.233423,0.279721,-0.422828,-0.13517,-0.252068,0.018983,0.101029,0.114934,R,TRUE
0.106668,-0.248978,2.562351,1.065765,0.348274,0.221922,-2.349597,0.117046,2.052401,-1.878237,-0.604347,0.578251,0.782317,-0.692425,-0.885157,0.84231,1.072761,-0.627349,-0.308977,0.203863,-1.491199,0.49589,-0.479789,0.717936,0.723757,1.072399,-0.435727,-0.141629,0.209898,-0.320476,-0.782015,-0.12807,-0.06505,0.314647,0.407732,-0.382862,-0.35244,-0.778382,-0.36059,0.45401,0.45578,0.307861,0.062152,-0.044908,0.231853,0.386404,-0.192148,0.433586,-0.066973,-0.032561,-0.077398,0.219819,0.229116,0.116921,0.251072,-0.120918,-0.267448,0.06417,0.106425,0.125628,R,TRUE
-2.117423,0.576929,2.530021,-0.860093,-1.18392,2.19834,2.71784,0.856482,-0.776157,-0.766042,1.001425,0.278317,0.021143,-0.159672,-1.176699,1.498843,0.679663,-1.224911,1.164737,-0.69397,1.510737,-1.253236,0.702426,-0.743696,-0.971597,0.688423,0.089349,-1.088789,-1.104376,-0.224263,0.201161,-0.687214,2.016478,0.165278,-0.465871,0.718838,-0.703034,0.685143,-0.119009,-0.119702,0.279251,0.373125,-0.08273,-0.146599,-0.139552,-0.159336,0.161719,0.714074,-0.001384,-0.302384,0.568557,0.062916,-0.047591,0.223322,-0.012307,-0.145848,0.050226,0.094927,0.013337,-0.21953,R,TRUE
-4.392805,-2.274411,0.38362,0.133784,0.460776,-0.636434,0.609904,0.027981,-0.653098,0.695934,0.993311,-2.099623,-2.798306,-0.118615,0.361087,-0.634848,-0.678258,0.358637,-0.461714,-1.719779,-0.113875,-1.356767,-0.930503,2.362331,-0.671878,-0.268354,-0.440875,-0.057858,-0.176702,0.157914,0.318565,0.546511,-0.98105,-0.469192,1.516081,-0.401435,0.528638,-0.221491,-0.89534,-0.279964,0.831491,0.659312,0.000497,0.444004,0.160511,-0.395299,-0.031342,0.099883,-0.110103,0.216232,0.140409,0.01216,-0.372957,0.311643,-0.048037,0.140879,0.389168,0.168622,-0.032507,-0.039631,R,TRUE
-1.451807,1.884194,3.012519,2.748067,2.231312,-0.690463,-0.531537,2.650501,0.032101,0.31142,-0.140611,-0.330484,-2.287579,-1.467387,-0.899655,-0.963814,1.099302,1.087964,0.843607,0.434361,-0.424869,-0.151728,-1.660814,0.422397,-0.171839,-0.28555,1.350111,-1.429536,-1.064423,-1.055938,0.385223,0.315354,-0.262352,1.329888,0.299997,0.474727,-0.713686,-0.43452,-0.226909,0.289885,-0.520036,0.113033,-0.453978,-0.042714,0.097286,-0.192818,-0.133331,-0.114334,0.246679,-0.281578,0.071781,-0.031536,0.008894,0.327961,-0.073217,0.024682,-0.116729,-0.297748,-0.02982,0.041633,R,TRUE
1.027614,-3.291119,1.190283,-0.783734,0.153844,0.818626,2.40971,-0.754289,-0.955479,-0.421426,-1.52938,1.191136,0.35129,0.128041,0.031945,0.158731,1.384537,-0.055685,-1.214712,0.304463,-0.358112,-0.094422,-0.770763,0.940757,0.337609,0.54957,0.499673,0.222006,-0.186891,-0.052075,0.494302,-0.240989,-0.187831,-0.029873,-0.463447,-0.97346,0.093342,0.345205,-0.17866,0.132414,-0.169314,0.021488,0.112008,0.245308,0.324512,-0.031409,-0.137641,0.01208,0.261794,-0.315694,-0.098034,0.31399,0.056806,0.066019,-0.110212,0.249988,0.071873,0.091545,-0.048495,-0.03571,R,TRUE
1.135363,8.565502,-0.099656,-4.194618,-0.344627,1.186731,-0.735869,1.298291,-0.684161,-0.896556,2.911539,-0.601323,0.796841,-0.263599,0.96236,-0.146364,1.372675,-1.420882,0.643184,0.079533,-1.372044,-0.748347,0.034436,2.414191,-0.559295,-0.703561,0.574912,-0.068015,0.029226,-0.470228,0.227219,-0.558092,0.59042,-0.277679,0.544679,-0.794976,0.091416,-0.159259,-0.52502,0.000992,-0.460968,0.205766,-0.397127,0.248965,0.181343,0.216732,-0.226025,-0.22653,0.094344,-0.123415,-0.208852,0.209305,0.129602,-0.218626,-0.183856,0.162649,0.069765,-0.016702,0.116053,-0.056535,R,TRUE
-2.658291,1.63349,2.192509,-3.453318,1.388862,2.849867,1.207498,0.885875,-1.683549,3.107477,3.47047,-1.223055,1.004971,-0.598179,-0.54705,0.451569,0.666659,0.42793,0.288612,1.582337,0.408659,0.223971,0.122814,0.507872,0.407395,-0.271008,0.101532,-0.242489,0.309253,-0.10734,0.221108,0.596444,0.072072,0.459087,0.75474,-0.164386,0.003654,0.582208,0.123818,-0.594274,-0.077365,0.176268,-0.402913,0.2234,-0.295646,0.247075,-0.260759,0.046701,-0.348134,-0.22413,-0.244843,0.139851,-0.048187,-0.076112,-0.050987,0.012822,0.131194,0.227494,-0.00492,0.161052,R,FALSE
-6.230459,-1.50827,3.68635,-1.994727,1.214819,-1.524235,0.689157,2.483751,0.813917,1.300791,-1.046204,0.153735,0.508521,-0.22057,-0.609712,-1.716816,-0.174383,0.753439,-2.070207,1.536214,-0.202485,-0.053752,-0.134875,-0.710809,0.607438,1.267683,-0.248706,-0.80665,0.584585,-0.172634,0.190273,-0.298227,0.656543,0.30588,0.342167,-0.147865,-0.198929,0.524757,0.49042,0.0537,-0.181063,0.603504,0.416166,-0.178921,0.545454,0.498093,0.301346,-0.190416,0.038373,0.083037,0.294837,-0.301329,-0.087644,0.097517,-0.102612,-0.245232,0.055931,0.101214,0.054727,0.115626,R,FALSE
-11.19253,-2.787179,0.064219,1.511109,2.375352,-3.966808,-1.157634,0.866943,-2.203133,-2.442268,1.671765,-1.620539,1.434165,-0.331369,-2.183336,-0.309621,-0.039333,0.711772,-0.808648,-0.960734,1.091721,-0.722856,-0.05553,-0.361415,0.71815,-0.288122,1.031911,-0.090005,-0.122601,-0.52769,0.155656,0.771236,0.612125,0.185607,-0.538828,-0.712516,-0.370956,-0.154493,-0.176694,0.586845,0.708847,-0.100371,0.601465,0.096887,0.314942,0.03633,-0.782407,0.040453,-0.15444,-0.107917,-0.002576,0.191716,-0.320524,-0.230683,0.035828,-0.07966,-0.022544,-0.138952,0.183383,0.040866,R,TRUE
0.250311,-4.856509,0.913282,-0.610646,-0.667268,-1.445386,1.685432,-0.799723,-1.041181,1.468477,-0.777005,-0.059051,0.147231,0.86321,-0.501375,0.3531,1.098279,-1.572565,0.352018,0.176489,-0.130782,1.113765,0.510894,-0.227536,0.561008,-0.063246,0.478223,0.086859,-0.884278,-0.106285,-0.505217,-0.237211,-0.454817,0.286089,-0.348472,-0.00159,0.220993,0.132707,0.100075,-0.279083,0.286137,0.048448,-0.063785,0.066502,-0.152949,-0.124067,-0.274929,-0.07765,-0.140174,-0.015924,0.080537,-0.050824,0.152058,0.080737,-0.161156,-0.071023,0.103467,0.042881,-0.053795,0.077935,R,TRUE
-2.641082,-4.403644,4.165972,0.810798,-0.797606,-0.963659,1.569647,-0.592086,-0.975189,1.129458,1.935117,2.212007,-0.498813,-0.028922,0.043135,0.906824,0.057471,-1.911316,0.124826,-0.038441,0.315368,0.487606,0.159114,-1.092913,0.431835,0.200347,-0.673262,0.196856,0.503299,-0.612989,0.424555,-0.026813,-0.020966,0.470123,0.631365,0.878133,-0.126799,-0.229574,-0.307605,0.267977,-0.261749,-0.370484,0.218775,-0.267515,0.118222,-0.080836,0.388661,0.082171,-0.460411,0.310393,0.027498,0.200985,0.039058,-0.025523,-0.142883,-0.140713,0.132187,-0.108769,-0.024865,-0.001483,R,TRUE
0.420093,-7.161207,0.290307,0.068925,0.914936,0.425773,2.237677,0.027053,1.034466,1.741699,0.753442,0.89922,-0.790344,0.878711,0.543478,0.302622,-0.021132,0.093155,0.107635,-0.838373,-0.974971,-0.155775,0.029275,-0.420739,0.018626,0.655789,0.120217,-0.120589,0.257302,-0.112827,-0.663341,0.032977,-0.257539,-0.165171,0.079441,-0.03626,0.043893,-0.092089,-0.089095,-0.236544,-0.059687,-0.014528,0.297992,0.081932,0.132286,-0.120433,-0.419994,0.283752,-0.066363,0.110578,-0.017314,0.094157,-0.042745,-0.056725,0.054471,0.188771,0.083994,-0.048941,-0.083584,0.053715,R,TRUE
3.67536,2.488427,1.424068,1.155464,0.502787,-0.139568,-0.344324,1.820312,-1.274531,0.349126,0.729167,-1.09964,0.52757,0.662887,0.069254,0.939354,-0.222401,-0.90619,1.124483,-0.363335,-0.190689,-0.923279,0.627131,-0.086302,1.005717,0.494384,0.692683,0.948694,0.501611,0.361499,-0.217343,0.518966,0.037742,0.206382,0.546536,-0.129844,0.360263,0.198089,0.731403,-0.241973,-0.147652,-0.454352,-0.232824,-0.407948,0.566196,0.088462,-0.009223,0.129468,0.175403,0.243931,0.020297,-0.074362,0.022836,-0.354405,0.129407,-0.119573,0.038121,-0.149278,0.068751,-0.136708,R,TRUE
2.881279,0.168864,-1.125065,1.011879,-1.00611,-1.559694,1.963184,-0.068799,0.435818,-0.543003,-0.745653,1.23148,-0.632482,-0.612167,0.330105,0.899954,-0.900135,0.397935,-0.056684,-0.456758,1.056476,-0.398494,-0.087193,-0.674731,-1.224198,-1.907814,-0.005934,0.103674,0.933138,0.184178,0.561781,0.17848,0.345481,0.152434,-0.407603,-0.020733,-1.13046,0.316683,-0.15224,0.436165,-0.024091,0.466757,0.259175,0.08555,0.187284,0.636844,0.100804,0.004773,-0.013353,0.130193,-0.219415,-0.012346,0.007714,0.258989,0.185221,-0.035337,0.055468,0.084575,-0.21105,0.021071,R,TRUE
1.878352,1.490488,2.081536,0.43651,2.18686,-1.290906,-1.857104,-0.658213,0.351203,0.829816,0.030778,1.627431,0.076787,-0.142667,0.537482,-0.757679,1.469483,-0.223641,0.160044,-0.568381,1.439857,-1.150229,0.322076,0.754361,0.110964,0.229879,-0.610646,-0.187633,-0.090251,-0.545042,0.264129,-1.983153,0.299145,0.094449,0.266829,0.071798,-0.397795,-0.238944,-0.400197,0.143147,-0.018426,-0.549385,-0.224859,0.140991,-0.189118,0.246797,-0.086949,0.222595,0.001756,-0.430471,-0.048708,0.022197,0.042414,0.162692,-0.113141,0.00811,-0.060626,-0.011038,-0.00259,-0.111671,R,TRUE
2.377168,1.384077,0.728743,-0.707531,-2.466072,-1.368092,-1.014664,-0.954165,1.084872,-1.405971,-0.82582,-0.010764,-0.369214,0.707753,0.451218,0.437296,-0.487803,-0.956947,-0.119275,-0.342229,0.92179,-0.491457,1.294714,0.825019,1.449704,-0.540889,0.572898,1.017591,-0.695263,0.086745,0.279756,0.786617,0.288728,-0.516252,0.394386,-1.096758,-1.086398,0.769291,0.992819,1.192558,-0.367502,0.152849,0.097297,0.203352,0.145627,-0.10382,-0.217477,0.604148,0.13653,-0.037885,0.086135,-0.32031,0.131829,-0.002683,-0.293911,-0.057671,0.088496,-0.121033,0.113674,-0.053591,R,TRUE
2.30175,-1.194773,-0.389541,1.069033,-0.568836,-0.2446,0.598672,0.046544,0.499359,0.159918,-1.633925,-0.6874,-0.577256,-0.52198,0.209952,-0.072822,-1.375503,-0.221996,-0.274954,-0.535163,0.351368,-1.312356,0.170155,-0.069763,0.46925,-0.072127,0.335381,-1.087269,-0.094398,-0.245948,-0.528426,-0.528468,-0.595473,-0.27335,0.035067,0.526639,-0.091851,0.000951,-0.727538,-0.526122,1.214255,-0.855648,0.162085,0.042078,0.449705,0.457872,0.23921,-0.731039,0.085552,-0.176949,-0.192938,-0.32509,0.332495,-0.386161,-0.352087,0.00997,-0.036462,0.010354,-0.026845,-0.024843,R,TRUE
3.490081,-0.572744,1.257208,1.425953,-1.564876,-0.714532,0.001988,0.25039,0.245944,-0.129151,-0.826943,-0.268121,-0.327316,-1.371824,0.255018,0.409203,2.014614,0.659887,0.477664,-0.527564,-0.251297,-0.55537,1.202132,0.820556,0.269792,1.207562,0.497991,-0.016633,0.190283,1.443226,-0.292811,-0.24503,-0.11872,0.320431,-0.450587,0.194906,-0.576593,-0.432152,0.269434,0.453025,0.541675,-0.305108,0.48629,0.422823,-0.058429,-0.326459,-0.210604,-0.23142,0.020397,-0.096769,-0.280663,-0.009436,-0.268341,-0.049361,-0.060422,0.138352,0.124067,-0.12004,0.034332,0.065985,R,TRUE
-0.050815,0.365336,2.690425,1.278993,1.377006,-1.708983,-0.924737,-2.008202,0.417255,-0.593778,-0.53387,-1.733241,-0.03886,-0.613539,-1.627976,1.322033,-1.682364,0.33869,0.686942,-0.661288,-0.719354,0.178371,-0.390363,0.429869,-0.89546,0.75279,0.328576,0.722736,1.312457,-0.779173,-0.009218,-0.737366,-0.546036,0.248895,-0.304202,0.582949,-1.002775,-0.077564,0.207809,-0.300661,0.205089,0.045649,-0.184008,0.793214,0.383708,-0.300193,-0.207232,-0.525619,-0.176291,-0.195907,0.406496,0.198717,0.088996,-0.260423,-0.150197,-0.01614,0.214214,0.195747,-0.0334,-0.11832,R,TRUE
-1.040488,0.046859,0.802815,1.624595,2.016133,-0.207392,0.726363,-1.894199,0.264896,1.989736,2.223805,-0.343652,0.208999,0.744194,-1.212809,-0.382447,-0.179889,1.62568,-2.271468,1.293795,0.908807,0.278615,1.093127,0.468389,-0.538204,-0.962667,1.239892,0.610763,0.878465,0.142028,-1.455421,-0.36278,0.670084,-0.772443,-0.063901,1.154037,-0.407585,-0.158762,0.495831,0.371571,-0.02153,-0.137691,-0.050808,-0.339876,-0.028689,0.058908,-0.145103,-0.100247,-0.083672,0.369208,-0.067803,0.125338,0.051873,0.197267,-0.22661,0.462232,0.177401,-0.036464,-0.002621,-0.049704,R,FALSE
0.676251,1.114029,2.296712,0.327567,-1.362435,-1.168243,0.529079,-1.797293,0.59041,0.298279,-1.182368,1.850506,1.602618,-1.001295,-0.737764,-0.490489,-0.364352,-2.184997,0.277224,1.521624,0.257928,-0.090792,-0.783257,1.307084,0.906922,1.359082,0.597815,-0.304356,-0.290833,-0.777886,-1.135025,0.455985,0.456042,-0.775856,-0.509059,1.312117,-0.124493,-0.111811,0.320476,-0.463296,0.257238,-0.364469,-0.117827,0.19392,-0.56873,0.410922,-0.008998,-0.138101,-0.035919,0.022093,-0.354383,-0.357457,-0.433096,0.078191,-0.127945,-0.015279,-0.105024,-0.205262,0.055522,-0.014748,R,TRUE
1.923593,0.633015,0.716425,1.102547,-2.501422,0.91943,-1.566269,-1.396973,-0.294353,-0.21768,1.780781,-1.2706,-1.685017,0.012621,-0.152177,0.063138,1.539159,-0.286632,-0.378592,2.068346,0.634963,-1.391856,-1.288223,-0.355743,-0.100653,-0.979014,-0.16974,-0.161404,0.649644,1.148102,-0.022873,0.684491,0.040191,0.254723,-0.250645,0.111344,0.177735,-0.105501,-0.15264,-1.100673,0.250974,-0.085774,0.439586,0.008961,0.144703,0.15348,0.410182,0.116413,0.057705,-0.44176,0.336316,0.360918,-0.070209,-0.177392,0.026467,0.056588,-0.155974,-0.071841,0.227536,-0.001103,R,TRUE
-0.27265,-3.411416,2.331072,1.594626,0.446907,2.912455,1.686585,-2.026895,0.930033,0.053713,1.582174,0.144692,-0.525236,0.217139,1.052095,-0.789594,-0.391375,-0.392386,-0.124882,0.063657,0.47206,-0.181867,0.40039,0.345181,-1.535149,-0.530432,-0.00312,1.365722,-0.000228,-0.106377,-0.413464,0.697622,-0.298453,0.236029,-0.092623,-0.337388,0.323212,-0.749383,-0.224173,0.184682,0.03792,0.113456,0.609021,-0.108636,-0.014932,0.011853,-0.395012,-0.064747,0.021081,-0.04839,0.127514,-0.269838,-0.213349,-0.081052,0.156748,-0.162018,-0.041601,0.059726,-0.015824,-0.198149,R,TRUE
2.117498,-4.487613,0.593181,0.213904,-1.230668,2.573184,1.369187,-0.641215,-0.393611,-0.476313,0.756475,1.27386,-0.052059,0.21604,0.409889,0.487052,-0.899654,-1.168551,-0.801651,0.27927,-0.707544,-0.389716,-0.068723,-0.042152,-0.56077,-0.29776,-0.167547,0.756645,0.286699,0.590831,0.863263,0.649028,-0.124331,-0.077584,-0.084576,-0.349513,0.181143,-0.177933,0.135375,0.252229,0.116699,0.071977,0.071702,0.373732,0.191007,0.093344,0.187581,-0.115154,0.448126,-0.137283,0.119529,-0.118787,-0.203082,0.242565,0.115294,-0.119002,-0.057542,0.111763,-0.01308,0.079317,R,TRUE
