@relation R_data_frame

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute Class {1,2,3}
@attribute IsCC {FALSE,TRUE}

@data
1.89535,-1.56673,-0.096879,0.448177,-1.201979,-0.92672,0.511159,0.55353,0.191946,-0.655979,-0.527221,0.430786,0.502345,2,TRUE
-0.788325,-2.296029,0.112979,-1.225648,0.324175,0.513302,0.217081,0.195414,-0.116253,0.501698,-0.729318,-0.269239,-0.363396,2,TRUE
-0.99615,-2.199934,0.142344,-0.250157,0.964936,0.404608,-0.735385,-0.907516,-0.186279,1.272547,-0.005671,-0.181424,-0.673153,2,TRUE
-2.540176,0.213796,0.81333,1.251196,3.704371,-1.366553,2.613244,0.543969,-0.164496,-0.6415,0.111638,0.405592,-0.110498,2,TRUE
0.529681,-0.362072,1.32125,1.464217,3.262266,0.733872,-0.336079,0.115726,0.999748,0.077083,-0.670999,0.199549,-0.488761,2,TRUE
-1.070935,-2.536779,-1.089259,-0.268924,-0.161239,-0.404089,0.014235,-0.037621,-0.229023,0.756852,-0.301824,0.07512,-0.027822,2,TRUE
-2.283762,-1.393546,-0.235455,-0.92035,-0.165157,-1.020979,-0.865189,-0.765974,-0.32564,0.834796,0.586353,0.626018,0.297019,2,TRUE
-1.449977,-2.137248,0.738261,-1.221524,-0.625137,-0.653273,2.087444,0.580188,-0.21776,1.250623,-0.467797,0.090709,-0.011033,2,TRUE
-0.835183,-2.349471,-1.558105,0.076431,0.62891,0.288714,0.292913,0.370967,-0.169159,0.480074,1.052204,-0.59877,0.174549,2,TRUE
0.511606,-2.282727,-1.492172,0.319639,0.303014,0.157759,-0.418531,0.803247,0.109702,-0.639331,-0.105144,-0.140932,0.124725,2,TRUE
0.126871,-1.163382,1.003375,-0.639044,0.32148,0.674358,-0.492674,-0.952073,-0.280356,-0.615571,-0.111459,-0.069885,-0.226723,2,TRUE
0.613628,-2.669401,-0.760967,-0.454617,0.178445,-0.449806,-0.052845,-0.440417,-0.25792,-0.011829,0.659243,0.590264,-0.226932,2,TRUE
-0.433746,-2.085251,-0.469188,-0.453669,-0.287533,0.258359,-0.456458,0.401038,-0.119657,-0.814874,0.635879,-0.512338,-0.128174,2,TRUE
1.729538,-1.734744,0.945556,-0.318072,-1.004303,-0.128786,1.046924,-0.39625,-0.65441,-1.445156,-0.171367,-0.604014,0.555706,2,TRUE
0.323361,-2.166338,-0.481745,-0.42826,-0.454117,-0.193073,-0.252067,0.28604,0.403496,-0.555355,-0.3214,-0.622175,0.342122,2,TRUE
1.584376,-1.362806,0.284299,-0.012658,-0.580206,-0.584974,-0.10061,0.69477,0.130516,-0.860654,-0.372332,0.199029,0.66933,2,TRUE
-0.12275,-2.295709,-0.456015,-0.867531,0.393822,-1.108024,0.178505,-0.290909,-0.503617,-0.836333,-0.187383,0.144347,-0.038169,2,TRUE
-1.613341,-1.441586,1.770462,-0.592047,0.322212,-0.787805,-0.283798,-0.620107,1.283995,-0.149578,-0.605696,0.228225,-0.200662,2,TRUE
-1.453143,-1.396774,0.160203,-3.280916,2.408268,-1.462976,1.667099,-0.039588,0.49134,0.088455,0.740839,0.644903,-0.358438,2,TRUE
0.238227,-1.919822,0.07818,-0.904843,0.301474,0.696506,-0.83329,-0.283557,-0.610208,0.114089,0.078328,0.59759,0.065872,2,TRUE
1.273048,-0.770516,1.983351,1.681338,-0.830635,0.457272,1.142333,-0.84958,0.674969,0.643795,-0.581404,-0.702343,0.37735,2,TRUE
0.413817,-2.25928,1.050143,0.819135,-0.36183,-0.995361,-0.511366,-0.744046,0.384833,0.551951,-0.084727,0.353606,-0.20101,2,TRUE
0.449376,-1.937447,1.313158,0.014864,-0.864755,0.048035,-0.984774,-0.952483,-0.339943,-0.387768,0.059878,-0.021163,-0.014187,2,TRUE
-0.539863,-3.845893,1.330792,0.850824,-0.964779,-1.000345,1.390602,0.664908,0.003309,1.323536,0.493476,-0.669077,-0.268964,2,TRUE
0.204406,-2.813948,-0.296454,-0.437044,0.385625,-0.033414,-0.577534,0.145046,0.224532,-0.865241,0.380096,-0.296911,-0.186302,2,TRUE
0.072792,-1.91567,0.696787,0.335198,1.046967,-0.027669,-0.027173,0.370705,-0.781323,-0.510415,-0.080779,-0.020973,0.301711,2,TRUE
2.397686,-1.273511,-1.899406,-0.89312,-0.424547,0.81593,0.251039,-0.631794,-0.113379,-0.142384,-0.355293,0.290624,0.308482,2,TRUE
0.506722,-2.219402,-0.351021,-1.34277,0.285745,0.554786,0.970455,0.193756,0.510798,-0.470435,0.261298,0.017636,-0.098009,2,TRUE
-0.777669,-1.399911,1.125268,-1.168805,0.496026,-0.093254,-0.198135,-1.395196,0.645827,-0.217789,0.365639,-0.122872,-0.062748,2,TRUE
-1.362658,0.260719,5.332466,-0.213533,0.242725,-0.774372,-0.608737,-1.779643,-0.434167,0.209138,0.180818,-0.840072,1.527502,2,TRUE
1.141823,-0.674622,3.005693,-1.138066,0.368583,1.169729,0.623147,0.254123,-0.273662,-0.18781,-0.060612,-0.010503,0.144263,2,TRUE
0.427065,-0.621564,0.487451,-3.547248,0.308619,1.50186,0.78862,0.250074,-0.500783,0.157904,0.20013,0.361202,0.315736,2,TRUE
-1.021825,-1.440304,1.481729,-3.742846,0.694698,0.122714,0.189678,-0.106011,0.794981,0.098864,-0.429833,-0.02802,-0.159712,2,TRUE
0.051294,-2.104289,0.433555,-1.063835,-0.26064,0.122104,-0.533928,-0.837031,-0.424936,-0.364542,0.338797,-0.047314,0.29639,2,TRUE
-0.075169,-1.260703,0.684569,-1.28506,-0.28287,-0.954669,-0.833452,-0.971989,-0.49267,-0.479229,-0.104833,0.551945,0.646081,2,TRUE
1.555526,-1.217286,3.347776,0.183728,-0.66291,-0.870958,0.120343,0.112497,0.174697,-0.258651,0.315936,0.3773,0.47212,2,TRUE
0.437173,-1.932694,1.293502,-0.68745,-0.032823,-0.674717,-0.43013,0.308616,-0.372448,-0.638723,-0.044179,0.593121,0.460994,2,TRUE
1.750496,-1.1645,0.777914,-1.497411,-0.435959,0.982864,0.34133,-0.258632,0.705648,0.081912,0.439445,0.292004,0.108634,2,TRUE
1.320538,0.176727,-1.166976,1.627318,2.226516,0.178895,-0.816612,-0.266896,0.160684,0.07336,-0.570158,1.004459,0.340748,3,TRUE
2.369831,0.36208,-0.716123,0.381156,1.31451,0.739885,-0.909415,0.139868,0.333627,0.558376,-0.487627,0.399084,0.471241,3,TRUE
2.917522,0.245682,-0.160488,0.463216,1.052108,0.126778,-1.597014,0.571208,0.355515,0.0333,-0.005049,0.532706,0.616028,3,TRUE
2.131121,0.361711,-0.444484,0.052795,1.723002,1.055398,-0.972568,0.280413,0.333009,1.054365,0.181711,0.729824,0.191698,3,TRUE
2.344563,-0.473417,-1.105453,0.789481,-1.094727,-1.443384,0.315247,-0.84447,0.330455,-0.351756,-0.072227,0.664618,-0.469533,3,TRUE
3.044487,0.327797,-1.095861,0.692919,-0.762069,-0.856757,0.698325,-0.748605,0.103633,-0.234539,0.379883,-0.158665,0.073904,3,TRUE
3.888209,0.122192,0.217212,-0.009463,-0.369072,1.096657,0.925655,-0.210799,1.150897,0.491059,0.262786,0.619041,0.032012,3,TRUE
3.910373,0.621442,1.707763,-0.570391,-0.517485,0.856774,1.479178,0.057782,0.009747,0.531475,0.510122,0.102962,-0.160838,3,TRUE
3.073638,0.324337,-1.026926,0.00789,-1.063438,0.363159,0.769194,0.150483,-0.51776,-0.190431,0.093047,0.075258,-0.141361,3,TRUE
2.352282,0.275103,1.236617,0.723902,-0.46413,0.42278,0.077607,-0.327829,-0.553082,-0.031656,0.526073,0.231333,-0.75843,3,TRUE
2.757135,0.260276,0.603989,0.839087,-0.619676,0.727853,0.01162,-0.427374,0.216368,-0.663833,-0.499865,-0.081912,-0.389675,3,TRUE
2.267079,0.35244,-0.969296,0.34217,-0.375802,0.924782,-0.956302,0.153536,0.320363,-0.887322,-0.018182,-0.254057,-0.286899,3,TRUE
2.966166,0.466133,0.938747,0.994828,-0.665115,1.221421,-0.221366,0.328421,-0.477496,-0.245725,-0.39974,0.222266,-0.279453,3,TRUE
2.355252,0.465598,-0.255846,-0.70163,-0.600261,1.532314,0.996294,0.375819,-0.554208,0.465884,-0.035429,0.282572,-0.388801,3,TRUE
2.200574,1.137446,-1.22432,-0.223716,1.710661,0.344317,0.022271,-0.29831,0.9791,0.222079,0.57072,-0.959775,0.038041,3,TRUE
2.610027,0.546065,-0.845007,-0.238821,0.663181,0.437987,0.580109,0.403955,0.351278,-0.83816,0.512381,0.859873,0.028442,3,TRUE
4.259829,0.612431,-1.455142,-1.150232,-0.31888,1.604701,-0.052881,0.766969,-0.089175,0.094573,-0.60276,0.645549,0.290719,3,TRUE
3.563171,1.231956,-0.109207,-1.079068,-0.475232,0.599117,-0.174766,-0.427614,0.415217,0.164875,0.265054,-0.255544,-0.154578,3,TRUE
2.796298,1.542584,-0.468299,-0.644781,-0.223329,-0.544316,-0.456415,-0.124415,-0.044,-0.044348,0.17291,0.165523,-0.234181,3,TRUE
2.897859,2.013224,-0.479619,-0.389969,1.467365,-0.159161,-0.391738,-0.051152,-0.130832,0.607889,0.007424,-0.340201,0.748113,3,TRUE
2.325878,2.337987,0.452438,0.174822,2.222688,-0.03798,-1.270573,0.466972,-0.323796,0.465354,-0.540034,0.163613,0.736825,3,TRUE
2.548557,2.017479,-0.294552,-0.287883,1.869304,-0.932221,-1.636594,-0.275676,0.135038,0.50831,-0.328206,-0.585489,0.462809,3,TRUE
1.808625,1.517722,1.36842,0.285425,1.73408,-0.927986,-1.550934,0.084205,-0.38982,0.314074,-0.457115,0.989795,-0.222568,3,TRUE
2.757183,2.10615,-0.956098,-0.699251,-0.417402,-1.816434,0.983618,-0.374208,0.020811,-0.0771,-0.118264,-0.453441,-0.058056,3,TRUE
2.722411,0.38791,-1.176361,0.679198,0.438624,-1.872826,-0.018077,-0.38783,0.055073,-0.875166,0.249364,-0.003247,0.085663,3,TRUE
3.592237,1.763834,-0.089242,-1.299605,-0.533234,-0.220654,1.414309,0.191743,0.145516,0.115722,0.60009,0.02635,-0.007139,3,TRUE
2.882655,1.892663,-0.778955,-1.358831,-0.496837,-0.437267,0.207132,0.137193,-0.344542,0.209307,-0.6387,-0.062583,-0.177036,3,TRUE
3.373516,1.277885,1.599723,0.440185,-0.696717,-0.805594,0.083075,-0.113863,0.432768,-0.43918,1.281247,0.020144,-0.212755,3,TRUE
1.057597,3.495938,1.158864,-0.994743,-0.831182,-3.263492,-0.702486,0.523544,-0.900096,-0.365627,-0.336701,-0.12382,-0.815029,3,TRUE
1.607159,2.383781,0.54553,-0.81833,-0.935756,-2.901806,-0.757753,-0.140591,-0.168866,-0.030309,-0.363639,-0.09747,-0.810693,3,TRUE
3.120259,0.706363,-0.089331,-0.998677,-0.348734,-0.397172,-0.070771,-1.09891,0.098835,0.563692,0.545505,0.155268,-0.315335,3,TRUE
2.232949,1.162005,-0.103926,1.145031,-0.33029,0.785527,0.549157,0.137026,-0.57096,0.22217,-0.211034,0.088103,-0.438526,3,TRUE
2.829767,0.53034,0.803553,0.878113,-0.3098,0.270629,0.860229,-0.246985,-0.297842,-0.27274,-0.027535,-0.331539,-0.230139,3,TRUE
2.584929,0.67783,-0.876281,0.315136,0.753305,0.716152,0.282721,-0.257405,0.350671,-0.183602,-0.24101,0.157164,0.056767,3,TRUE
2.940458,1.527617,-0.977817,-0.047112,-0.366337,-0.474383,-0.998046,0.782266,-0.332773,0.00585,-0.056484,-0.480166,0.100736,3,TRUE
3.511881,0.850512,-0.463225,-0.622932,-0.647284,0.441568,0.518749,1.075014,-0.472078,-0.054451,-0.01331,-0.128607,0.080671,3,TRUE
2.408985,2.568062,0.434292,0.2042,0.443671,-0.563789,0.030039,0.662841,-0.215951,0.869664,0.035367,-0.782386,-0.090591,3,TRUE
2.915244,1.242994,-1.206851,-0.317025,-0.245783,-0.369244,-0.643449,-0.014643,0.477408,0.653023,0.209163,-1.042792,-0.111387,3,TRUE
2.179293,2.056805,0.766349,0.399139,0.331744,-0.612173,-0.765627,0.923274,0.140314,-0.164601,-0.237506,-0.16501,-0.148718,3,TRUE
2.380079,2.561972,1.422493,-0.524085,1.141878,1.007557,-0.905047,0.287453,-0.038169,0.725342,-0.052914,-0.235092,-0.394686,3,TRUE
3.186184,-0.279764,-0.838862,0.246474,0.590054,0.401891,-0.286919,-0.583332,0.613785,-0.076637,-0.190545,-0.241134,-0.023538,3,TRUE
3.65995,0.808642,-1.332958,0.08703,-0.489843,-0.838938,-1.042445,-0.679496,-0.000424,0.076718,-0.086675,-0.795625,0.02593,3,TRUE
2.464397,2.168233,-0.918137,-0.069089,-0.699992,-0.669102,-0.844265,0.298353,-0.284704,-0.200177,-0.633821,-0.127263,-0.259884,3,TRUE
