@relation R_data_frame

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute Class {setosa,versicolor,virginica}
@attribute IsCC {FALSE,TRUE}

@data
0.282531,1.324886,-0.089111,0.008876,versicolor,TRUE
0.278146,1.116289,-0.094172,-0.269753,versicolor,TRUE
0.622484,-0.02484,0.020413,-0.147193,versicolor,TRUE
0.335407,0.985104,0.198724,0.006509,versicolor,TRUE
-0.360974,2.012496,-0.105468,0.019505,versicolor,TRUE
0.287623,0.852873,-0.130453,-0.107044,versicolor,TRUE
0.091056,0.180587,-0.128548,-0.229192,versicolor,TRUE
0.226957,0.383635,-0.155692,-0.132163,versicolor,TRUE
0.574464,0.154356,0.270743,-0.019794,versicolor,TRUE
-0.446172,1.538637,-0.189765,0.199279,versicolor,TRUE
0.255873,0.596852,-0.091572,-0.058426,versicolor,TRUE
1.83841,-0.867515,-1.002044,-0.049085,virginica,TRUE
1.154016,0.696536,-0.52839,-0.040385,virginica,TRUE
2.197904,-0.560134,0.202237,0.058987,virginica,TRUE
1.435342,0.046831,-0.163084,-0.234983,virginica,TRUE
1.861576,-0.29406,-0.394307,-0.016244,virginica,TRUE
2.742685,-0.797737,0.580365,-0.101046,virginica,TRUE
0.365792,1.556289,-0.983598,-0.132679,virginica,FALSE
2.294752,-0.418663,0.64953,-0.237246,virginica,TRUE
1.999986,0.709063,0.392675,-0.086222,virginica,TRUE
2.252232,-1.914596,-0.396225,0.104489,virginica,TRUE
1.359621,-0.690443,-0.283662,0.1075,virginica,TRUE
1.597327,0.420292,-0.023109,0.058137,virginica,TRUE
1.877611,-0.41785,-0.02625,0.145926,virginica,TRUE
1.255908,1.15838,-0.578312,0.098826,virginica,TRUE
1.462745,0.440795,-1.000518,0.274739,virginica,TRUE
1.584768,-0.673987,-0.636297,0.191222,virginica,TRUE
1.466518,-0.254768,-0.037306,-0.154812,virginica,TRUE
2.418228,-2.548125,0.127454,-0.272893,virginica,TRUE
3.299641,-0.017722,0.700957,0.045038,virginica,TRUE
1.259547,1.701047,0.266644,-0.064963,virginica,TRUE
2.030913,-0.907427,-0.234016,0.16739,virginica,TRUE
0.974715,0.569855,-0.825362,0.027663,virginica,TRUE
2.887977,-0.41226,0.854559,-0.126911,virginica,TRUE
1.328781,0.480202,0.00541,0.139492,virginica,TRUE
1.695055,-1.010536,-0.297454,-0.061438,virginica,TRUE
1.947801,-1.004413,0.418582,-0.217609,virginica,TRUE
1.17118,0.315338,-0.129504,0.125002,virginica,TRUE
1.017542,-0.064131,-0.336588,-0.008626,virginica,TRUE
1.782379,0.186736,-0.269754,0.030984,virginica,TRUE
1.857425,-0.560413,0.713245,-0.20752,virginica,FALSE
2.42782,-0.258419,0.725386,-0.017864,virginica,TRUE
2.297232,-2.617554,0.491826,-0.210969,virginica,TRUE
1.856484,0.177953,-0.352966,0.099676,virginica,TRUE
1.110428,0.291945,0.182876,-0.185722,virginica,TRUE
1.198458,0.808606,0.164174,-0.487849,virginica,TRUE
2.789426,-0.853943,0.541094,0.294893,virginica,TRUE
1.570993,-1.065013,-0.942696,0.035487,virginica,TRUE
1.341797,-0.42102,-0.180272,-0.214702,virginica,TRUE
0.921737,-0.017166,-0.415434,0.005221,virginica,TRUE
1.845861,-0.673871,0.01263,0.194544,virginica,TRUE
2.008083,-0.611836,-0.426903,0.246712,virginica,TRUE
1.895434,-0.687273,-0.129641,0.468128,virginica,TRUE
1.154016,0.696536,-0.52839,-0.040385,virginica,TRUE
2.033745,-0.864624,-0.337015,0.045036,virginica,TRUE
1.991475,-1.045666,-0.630302,0.213331,virginica,TRUE
1.864258,-0.385674,-0.255418,0.387957,virginica,TRUE
1.559356,0.893693,0.026283,0.219457,virginica,TRUE
1.516091,-0.268171,-0.179577,0.118773,virginica,TRUE
1.368204,-1.007878,-0.930279,0.026041,virginica,TRUE
0.957448,0.02425,-0.526485,-0.162534,virginica,TRUE
